scenario,boat_id,time,lat,lon,speed,heading,ax,ay,az,gx,gy,gz
straight,ST00,69,9.5943788,76.5230386,3.72,38.66,-0.0032,0.0,9.8987,0.00291,0.01875,0.0
straight,ST00,70,9.594405,76.5230598,3.73,38.66,0.0057,0.0,9.8205,-0.0299,0.01151,0.0
straight,ST00,71,9.5944312,76.523081,3.73,38.66,0.0049,0.0,9.751,-0.03421,-0.01103,0.0
straight,ST00,72,9.5944574,76.5231023,3.74,38.66,0.0039,0.0,9.8033,-0.00027,-0.00779,0.0
straight,ST00,73,9.5944836,76.5231236,3.74,38.66,0.0073,0.0,9.7574,0.01298,-0.00348,0.0
straight,ST00,74,9.5945098,76.5231448,3.74,38.66,-0.0072,0.0,9.7588,-0.04169,-0.00421,0.0
straight,ST00,75,9.5945361,76.5231662,3.75,38.66,0.014,0.0,9.8433,0.02193,0.01394,0.0
straight,ST00,76,9.5945624,76.5231875,3.74,38.66,-0.0056,0.0,9.7973,0.04912,0.00594,0.0
straight,ST00,77,9.5945887,76.5232088,3.74,38.66,-0.0006,0.0,9.8274,0.02954,0.00556,0.0
straight,ST00,78,9.594615,76.5232301,3.75,38.66,0.0031,0.0,9.8623,0.00943,-0.0036,0.0
straight,ST00,79,9.5946412,76.5232515,3.75,38.66,0.0004,0.0,9.8216,0.00848,-0.00569,0.0
straight,ST00,80,9.5946676,76.5232728,3.76,38.66,0.0101,0.0,9.7735,0.00527,-0.0118,0.0
straight,ST00,81,9.594694,76.5232943,3.77,38.66,0.0085,0.0,9.8049,-0.03268,0.00463,0.0
straight,ST00,82,9.5947205,76.5233157,3.77,38.66,0.0043,0.0,9.8099,0.03015,-0.03197,0.0
straight,ST00,83,9.594747,76.5233373,3.78,38.66,0.0115,0.0,9.8948,0.01653,-0.00877,0.0
straight,ST00,84,9.5947736,76.5233588,3.79,38.66,0.0067,0.0,9.9208,-0.01659,0.00491,0.0
straight,ST00,85,9.5948001,76.5233804,3.78,38.66,-0.0042,0.0,9.8134,0.02992,0.02923,0.0
straight,ST00,86,9.5948267,76.5234019,3.79,38.66,0.0039,0.0,9.866,-0.01668,-0.00177,0.0
straight,ST00,87,9.5948533,76.5234235,3.8,38.66,0.0069,0.0,9.7843,-0.01612,-0.03446,0.0
straight,ST00,88,9.5948798,76.523445,3.77,38.66,-0.0229,0.0,9.8264,-0.04382,-0.00338,0.0
straight,ST00,89,9.5949063,76.5234665,3.78,38.66,0.0116,0.0,9.8698,-0.00283,-0.00602,0.0
straight,ST00,90,9.5949328,76.523488,3.78,38.66,-0.001,0.0,9.8741,-0.01336,-0.0162,0.0
straight,ST00,91,9.5949595,76.5235097,3.8,38.66,0.0166,0.0,9.7559,-0.00339,0.01827,0.0
straight,ST00,92,9.5949862,76.5235313,3.81,38.66,0.0095,0.0,9.8077,0.0202,-0.0101,0.0
straight,ST00,93,9.595013,76.5235531,3.82,38.66,0.0137,0.0,9.8055,-0.00756,0.00059,0.0
straight,ST00,94,9.5950399,76.5235749,3.83,38.66,0.0028,0.0,9.8098,0.00043,0.00041,0.0
straight,ST00,95,9.5950668,76.5235967,3.84,38.66,0.0126,0.0,9.772,-0.02244,-0.0401,0.0
straight,ST00,96,9.5950937,76.5236185,3.83,38.66,-0.003,0.0,9.8342,0.0125,0.00568,0.0
straight,ST00,97,9.5951206,76.5236404,3.84,38.66,0.0096,0.0,9.8616,-0.02154,-0.01132,0.0
straight,ST00,98,9.5951476,76.5236623,3.84,38.66,-0.0013,0.0,9.9076,0.02803,-0.0356,0.0
straight,ST00,99,9.5951745,76.5236841,3.83,38.66,-0.0117,0.0,9.8286,-0.00778,0.03609,0.0
straight,ST00,100,9.5952014,76.5237059,3.83,38.66,0.0021,0.0,9.8139,-0.01335,0.0154,0.0
straight,ST00,101,9.5952285,76.5237279,3.86,38.66,0.0295,0.0,9.8057,-0.04183,0.02004,0.0
straight,ST00,102,9.5952556,76.5237499,3.86,38.66,-0.0014,0.0,9.8016,0.00912,0.00828,0.0
straight,ST00,103,9.5952827,76.5237719,3.87,38.66,0.0112,0.0,9.8569,-0.03631,-0.01286,0.0
straight,ST00,104,9.5953099,76.523794,3.88,38.66,0.0081,0.0,9.8599,0.02435,-0.0055,0.0
straight,ST00,105,9.5953373,76.5238162,3.9,38.66,0.0196,0.0,9.8967,0.02517,-0.0138,0.0
straight,ST00,106,9.5953647,76.5238384,3.91,38.66,0.0058,0.0,9.8013,-0.00266,-0.00718,0.0
straight,ST00,107,9.5953922,76.5238607,3.91,38.66,0.0073,0.0,9.8772,-0.00058,-0.01892,0.0
straight,ST00,108,9.5954196,76.523883,3.91,38.66,0.001,0.0,9.8493,-0.03214,-0.01879,0.0
straight,ST00,109,9.5954471,76.5239053,3.92,38.66,0.0025,0.0,9.8606,0.00176,0.01721,0.0
straight,ST00,110,9.5954745,76.5239275,3.91,38.66,-0.0073,0.0,9.8485,-0.00772,0.04076,0.0
straight,ST00,111,9.595502,76.5239498,3.92,38.66,0.0066,0.0,9.7811,0.00605,0.03151,0.0
straight,ST00,112,9.5955296,76.5239722,3.93,38.66,0.0106,0.0,9.7381,0.02521,0.02135,0.0
straight,ST00,113,9.5955573,76.5239946,3.95,38.66,0.0222,0.0,9.8334,-0.03929,-0.02121,0.0
straight,ST00,114,9.5955849,76.524017,3.94,38.66,-0.0142,0.0,9.7779,-0.00517,-0.03444,0.0
straight,ST00,115,9.5956125,76.5240395,3.95,38.66,0.0107,0.0,9.9051,0.03237,-0.01074,0.0
straight,ST00,116,9.5956403,76.524062,3.95,38.66,0.0079,0.0,9.8059,-0.0301,0.06607,0.0
straight,ST00,117,9.595668,76.5240845,3.95,38.66,-0.0003,0.0,9.8443,0.0164,0.01232,0.0
straight,ST00,118,9.5956958,76.524107,3.96,38.66,0.0085,0.0,9.754,-0.01393,0.00976,0.0
straight,ST00,119,9.5957236,76.5241296,3.97,38.66,0.0061,0.0,9.7636,-0.00173,0.00697,0.0
straight,ST00,120,9.5957515,76.5241522,3.97,38.66,0.0035,0.0,9.751,0.02305,0.01796,0.0
straight,ST00,121,9.5957794,76.5241748,3.97,38.66,0.0023,0.0,9.81,0.0137,-0.02203,0.0
straight,ST00,122,9.5958071,76.5241974,3.96,38.66,-0.0126,0.0,9.8765,-0.01275,-0.02267,0.0
straight,ST00,123,9.5958349,76.5242199,3.96,38.66,-0.0047,0.0,9.8549,0.00607,0.02928,0.0
straight,ST00,124,9.5958626,76.5242424,3.95,38.66,-0.0046,0.0,9.8239,0.00957,-0.00652,0.0
straight,ST00,125,9.5958904,76.5242649,3.96,38.66,0.0065,0.0,9.7514,0.05492,0.03837,0.0
straight,ST00,126,9.5959183,76.5242875,3.97,38.66,0.0166,0.0,9.8035,0.00103,0.01491,0.0
straight,ST00,127,9.5959462,76.5243102,3.98,38.66,0.0042,0.0,9.8176,-0.01016,-9e-05,0.0
straight,ST00,128,9.5959741,76.5243328,3.98,38.66,0.0043,0.0,9.8673,0.02107,0.01001,0.0
straight,ST00,129,9.5960022,76.5243556,4.0,38.66,0.0156,0.0,9.8657,-0.00975,-0.01706,0.0
straight,ST00,130,9.5960303,76.5243784,4.01,38.66,0.0064,0.0,9.7681,0.00758,-0.0115,0.0
straight,ST00,131,9.5960584,76.5244012,4.01,38.66,0.0052,0.0,9.8544,-0.01732,0.00106,0.0
straight,ST00,132,9.5960866,76.5244241,4.01,38.66,0.0034,0.0,9.7649,0.01093,0.0456,0.0
straight,ST00,133,9.5961146,76.5244469,4.01,38.66,-0.0088,0.0,9.8011,0.01876,0.06606,0.0
straight,ST00,134,9.5961426,76.5244696,3.99,38.66,-0.0152,0.0,9.7205,-0.00285,0.02125,0.0
straight,ST00,135,9.5961706,76.5244923,3.99,38.66,0.0011,0.0,9.8728,-0.03025,-0.02194,0.0
straight,ST00,136,9.5961987,76.5245151,4.01,38.66,0.0164,0.0,9.8028,0.01134,0.03639,0.0
straight,ST00,137,9.5962269,76.5245379,4.01,38.66,0.0005,0.0,9.7552,-0.03236,0.0114,0.0
straight,ST00,138,9.5962549,76.5245607,4.0,38.66,-0.0059,0.0,9.8319,-0.01083,0.00818,0.0
straight,ST00,139,9.5962831,76.5245835,4.02,38.66,0.0132,0.0,9.8829,-0.00567,-0.01537,0.0
straight,ST00,140,9.5963112,76.5246063,4.01,38.66,-0.0035,0.0,9.8062,-0.00075,-0.00239,0.0
straight,ST00,141,9.5963393,76.5246291,4.0,38.66,-0.0103,0.0,9.7755,-0.00312,-0.02221,0.0
straight,ST00,142,9.5963674,76.5246519,4.0,38.66,0.0007,0.0,9.819,-0.00077,-0.00446,0.0
straight,ST00,143,9.5963955,76.5246747,4.01,38.66,0.0066,0.0,9.7583,0.01333,0.00931,0.0
straight,ST00,144,9.5964237,76.5246976,4.02,38.66,0.0105,0.0,9.7656,0.04477,0.0374,0.0
straight,ST00,145,9.5964519,76.5247205,4.02,38.66,-0.0019,0.0,9.7808,-0.006,0.0018,0.0
straight,ST00,146,9.5964801,76.5247434,4.03,38.66,0.0093,0.0,9.7633,0.04584,-0.02394,0.0
straight,ST00,147,9.5965085,76.5247664,4.04,38.66,0.0153,0.0,9.8345,0.03779,-0.00144,0.0
straight,ST00,148,9.596537,76.5247895,4.06,38.66,0.0224,0.0,9.8274,0.0071,-0.00694,0.0
straight,ST00,149,9.5965655,76.5248126,4.07,38.66,0.0011,0.0,9.9466,0.01332,-0.03187,0.0
straight,ST00,150,9.5965941,76.5248358,4.07,38.66,0.0081,0.0,9.7025,-0.0294,0.00104,0.0
straight,ST00,151,9.5966226,76.524859,4.07,38.66,-0.0067,0.0,9.8732,-0.00933,-0.0103,0.0
straight,ST00,152,9.5966511,76.5248821,4.06,38.66,-0.0025,0.0,9.8004,-0.02263,-0.00713,0.0
straight,ST00,153,9.5966795,76.5249051,4.05,38.66,-0.0162,0.0,9.7648,0.01323,0.00813,0.0
straight,ST00,154,9.596708,76.5249282,4.05,38.66,0.0055,0.0,9.783,0.01713,0.02501,0.0
straight,ST00,155,9.5967364,76.5249513,4.05,38.66,-0.0002,0.0,9.8351,-0.04484,-0.01422,0.0
straight,ST00,156,9.5967649,76.5249744,4.07,38.66,0.0132,0.0,9.8357,-0.00334,0.01675,0.0
straight,ST00,157,9.5967935,76.5249976,4.08,38.66,0.0112,0.0,9.7454,0.01251,-0.03528,0.0
straight,ST00,158,9.5968221,76.5250208,4.08,38.66,0.0009,0.0,9.798,-0.00095,-0.01924,0.0
straight,ST00,159,9.5968507,76.525044,4.07,38.66,-0.0059,0.0,9.6885,-0.0194,0.01687,0.0
straight,ST00,160,9.5968793,76.5250672,4.08,38.66,0.0053,0.0,9.8704,-0.02782,-0.00119,0.0
straight,ST00,161,9.5969078,76.5250904,4.07,38.66,-0.0125,0.0,9.7359,-0.03049,-0.00854,0.0
straight,ST00,162,9.5969364,76.5251135,4.07,38.66,0.0022,0.0,9.8644,-0.02255,0.00056,0.0
straight,ST00,163,9.5969649,76.5251367,4.06,38.66,-0.0032,0.0,9.8026,0.00331,-0.03448,0.0
straight,ST00,164,9.5969934,76.5251598,4.06,38.66,-0.0063,0.0,9.7731,-0.01871,-0.02096,0.0
straight,ST00,165,9.5970218,76.5251828,4.05,38.66,-0.0088,0.0,9.9185,-0.01118,0.02253,0.0
straight,ST00,166,9.5970502,76.5252059,4.05,38.66,0.0029,0.0,9.7202,-0.01604,0.02576,0.0
straight,ST00,167,9.5970786,76.5252289,4.05,38.66,-0.0026,0.0,9.8126,-0.0353,-0.03901,0.0
straight,ST00,168,9.5971069,76.5252519,4.04,38.66,-0.0125,0.0,9.8862,-0.01978,0.03455,0.0
straight,ST00,169,9.5971352,76.5252748,4.03,38.66,-0.0094,0.0,9.8187,0.04605,0.02148,0.0
straight,ST00,170,9.5971635,76.5252978,4.03,38.66,0.0009,0.0,9.8398,0.01275,-0.00084,0.0
straight,ST00,171,9.5971916,76.5253206,4.01,38.66,-0.0145,0.0,9.7342,-0.00492,-0.00394,0.0
straight,ST00,172,9.5972198,76.5253435,4.01,38.66,0.0,0.0,9.8512,0.01196,-0.00809,0.0
straight,ST00,173,9.597248,76.5253663,4.02,38.66,0.0031,0.0,9.7499,-0.04313,0.04449,0.0
straight,ST00,174,9.5972761,76.5253892,4.02,38.66,0.0009,0.0,9.8895,0.00083,-0.0228,0.0
straight,ST00,175,9.5973043,76.525412,4.02,38.66,-0.003,0.0,9.7638,0.03529,0.00877,0.0
straight,ST00,176,9.5973325,76.5254349,4.02,38.66,0.0007,0.0,9.8756,-0.01672,0.02257,0.0
straight,ST00,177,9.5973606,76.5254577,4.01,38.66,-0.0029,0.0,9.8463,0.00499,-0.03859,0.0
straight,ST00,178,9.5973889,76.5254806,4.02,38.66,0.0078,0.0,9.7331,0.04759,0.02591,0.0
straight,ST00,179,9.5974171,76.5255035,4.03,38.66,0.0039,0.0,9.8673,0.04429,0.01329,0.0
straight,ST01,0,9.590068,76.5217457,5.17,46.72,0.0208,0.0,9.7575,0.00265,-0.02623,0.0
straight,ST01,1,9.5900998,76.5217798,5.15,46.72,-0.0123,0.0,9.8335,-0.03289,0.02068,0.0
straight,ST01,2,9.5901315,76.521814,5.15,46.72,-0.0026,0.0,9.7396,-0.01815,-0.00255,0.0
straight,ST01,3,9.5901633,76.5218483,5.17,46.72,0.0158,0.0,9.7893,-0.0017,-0.02188,0.0
straight,ST01,4,9.5901952,76.5218826,5.17,46.72,0.0011,0.0,9.7976,0.03644,0.0087,0.0
straight,ST01,5,9.590227,76.5219169,5.17,46.72,0.0016,0.0,9.7633,-0.0326,0.0143,0.0
straight,ST01,6,9.5902589,76.5219511,5.17,46.72,-0.0002,0.0,9.8032,-0.01591,0.04149,0.0
straight,ST01,7,9.5902907,76.5219854,5.16,46.72,-0.0061,0.0,9.7372,0.02327,0.02727,0.0
straight,ST01,8,9.5903225,76.5220196,5.16,46.72,-0.0013,0.0,9.8845,0.00522,-0.00281,0.0
straight,ST01,9,9.5903543,76.5220539,5.17,46.72,0.0043,0.0,9.8111,-0.00226,-0.01524,0.0
straight,ST01,10,9.5903862,76.5220882,5.18,46.72,0.0093,0.0,9.7415,-0.0196,0.00734,0.0
straight,ST01,11,9.5904182,76.5221227,5.2,46.72,0.0207,0.0,9.786,0.01162,-0.03049,0.0
straight,ST01,12,9.5904503,76.5221573,5.21,46.72,0.0152,0.0,9.8571,0.00283,-0.01945,0.0
straight,ST01,13,9.5904825,76.5221919,5.23,46.72,0.0126,0.0,9.8479,0.00286,-0.00479,0.0
straight,ST01,14,9.5905146,76.5222265,5.21,46.72,-0.0112,0.0,9.8879,-0.02232,0.028,0.0
straight,ST01,15,9.5905467,76.5222611,5.21,46.72,-0.0067,0.0,9.801,0.01887,-0.0093,0.0
straight,ST01,16,9.5905786,76.5222954,5.19,46.72,-0.0218,0.0,9.7197,-0.01468,-0.01745,0.0
straight,ST01,17,9.5906105,76.5223298,5.18,46.72,-0.0018,0.0,9.7832,0.0238,0.01608,0.0
straight,ST01,18,9.5906423,76.5223641,5.17,46.72,-0.0182,0.0,9.8087,0.0087,0.01769,0.0
straight,ST01,19,9.5906742,76.5223983,5.17,46.72,0.0015,0.0,9.8321,0.03726,-0.01105,0.0
straight,ST01,20,9.5907059,76.5224326,5.16,46.72,-0.0075,0.0,9.7203,0.02659,0.01737,0.0
straight,ST01,21,9.5907378,76.5224668,5.17,46.72,0.0091,0.0,9.8168,-0.00795,0.00974,0.0
straight,ST01,22,9.5907697,76.5225012,5.18,46.72,0.0105,0.0,9.8133,0.0148,-0.0162,0.0
straight,ST01,23,9.5908016,76.5225356,5.19,46.72,0.0127,0.0,9.8252,0.02387,0.01069,0.0
straight,ST01,24,9.5908336,76.5225701,5.2,46.72,0.0041,0.0,9.7495,0.02042,0.02474,0.0
straight,ST01,25,9.5908657,76.5226046,5.2,46.72,0.0025,0.0,9.8506,-0.03002,0.00378,0.0
straight,ST01,26,9.5908975,76.5226389,5.18,46.72,-0.0216,0.0,9.8285,-0.02278,0.00796,0.0
straight,ST01,27,9.5909295,76.5226733,5.19,46.72,0.0123,0.0,9.7776,0.0264,-0.00291,0.0
straight,ST01,28,9.5909615,76.5227077,5.19,46.72,0.0027,0.0,9.8046,0.04154,0.02353,0.0
straight,ST01,29,9.5909934,76.5227421,5.18,46.72,-0.0091,0.0,9.8598,0.00281,0.00587,0.0
straight,ST01,30,9.5910253,76.5227765,5.19,46.72,0.0034,0.0,9.8019,-0.04364,-0.00022,0.0
straight,ST01,31,9.5910574,76.522811,5.21,46.72,0.0197,0.0,9.7506,0.00661,-0.02425,0.0
straight,ST01,32,9.5910895,76.5228456,5.22,46.72,0.0095,0.0,9.7906,-0.01721,-0.00159,0.0
straight,ST01,33,9.5911216,76.5228801,5.2,46.72,-0.0106,0.0,9.8201,-0.03168,0.00721,0.0
straight,ST01,34,9.5911537,76.5229147,5.21,46.72,0.0017,0.0,9.8692,0.03298,0.0474,0.0
straight,ST01,35,9.5911858,76.5229493,5.21,46.72,0.0076,0.0,9.7971,0.00381,0.02764,0.0
straight,ST01,36,9.5912178,76.5229838,5.2,46.72,-0.013,0.0,9.8495,-0.00403,0.01609,0.0
straight,ST01,37,9.5912498,76.5230182,5.2,46.72,-0.0018,0.0,9.8242,0.02602,0.00028,0.0
straight,ST01,38,9.5912818,76.5230527,5.2,46.72,0.0001,0.0,9.7913,0.02426,0.00828,0.0
straight,ST01,39,9.5913139,76.5230872,5.2,46.72,0.0,0.0,9.799,0.02244,-0.02006,0.0
straight,ST01,40,9.5913459,76.5231217,5.2,46.72,0.004,0.0,9.7741,0.00123,0.00427,0.0
straight,ST01,41,9.5913779,76.5231561,5.19,46.72,-0.0124,0.0,9.8377,-0.03814,0.03172,0.0
straight,ST01,42,9.5914099,76.5231906,5.19,46.72,0.0036,0.0,9.8419,0.00613,-0.00968,0.0
straight,ST01,43,9.5914419,76.5232251,5.2,46.72,0.0071,0.0,9.7398,-0.00118,-0.04388,0.0
straight,ST01,44,9.5914739,76.5232595,5.19,46.72,-0.0091,0.0,9.8528,-0.02392,-0.04247,0.0
straight,ST01,45,9.5915058,76.5232939,5.18,46.72,-0.0104,0.0,9.7829,0.01196,-0.02967,0.0
straight,ST01,46,9.5915379,76.5233284,5.2,46.72,0.0195,0.0,9.8481,-0.01381,0.02332,0.0
straight,ST01,47,9.5915699,76.5233629,5.21,46.72,0.0062,0.0,9.8454,0.03009,-0.0176,0.0
straight,ST01,48,9.591602,76.5233974,5.2,46.72,-0.0068,0.0,9.7565,-0.00811,0.00702,0.0
straight,ST01,49,9.5916341,76.5234321,5.22,46.72,0.0185,0.0,9.8308,0.01845,-0.00812,0.0
straight,ST01,50,9.5916662,76.5234666,5.21,46.72,-0.0062,0.0,9.8789,0.00657,-0.02244,0.0
straight,ST01,51,9.5916983,76.5235012,5.21,46.72,-0.0005,0.0,9.8307,0.01264,-0.02042,0.0
straight,ST01,52,9.5917305,76.5235359,5.23,46.72,0.0143,0.0,9.7656,0.01918,-0.01653,0.0
straight,ST01,53,9.5917627,76.5235705,5.23,46.72,-0.0021,0.0,9.8778,0.01332,-0.01149,0.0
straight,ST01,54,9.5917948,76.5236051,5.21,46.72,-0.0166,0.0,9.8375,-0.0401,-0.01096,0.0
straight,ST01,55,9.5918269,76.5236396,5.21,46.72,-0.0008,0.0,9.9292,0.00656,-0.02078,0.0
straight,ST01,56,9.5918589,76.5236741,5.19,46.72,-0.0147,0.0,9.8008,0.01579,-0.01501,0.0
straight,ST01,57,9.5918908,76.5237085,5.19,46.72,-0.0063,0.0,9.851,-0.0172,0.00954,0.0
straight,ST01,58,9.5919228,76.5237429,5.19,46.72,0.0004,0.0,9.8466,0.00695,0.01175,0.0
